Employer,Link,Level of Study,Hiring For,Target Programs,Industry,Opportunities,Logo
4S Consulting Services Inc.,https://www.4sconsult.com/,Recent Graduates|Undergraduate|Graduate,Full-time|Internship|Summer|Co-op,Engineering & Technology|Business & Management|Health Sciences|Life Sciences,Not specified,Not specified,https://studentlife.utoronto.ca/wp-content/uploads/4Sconsulting.jpg
Acciona,https://www.acciona.com/,Undergraduate,Internship,Engineering & Technology|Business & Management|Arts & Science,Not specified,Business Development Coordinator|Bid & Tender Coordinator,https://studentlife.utoronto.ca/wp-content/uploads/acciona.jpg
Amazon,https://www.amazon.jobs/en,Undergraduate|Graduate|Recent Graduates,Internship|Co-op|Full-time|Summer,Engineering & Technology,"Computer, Information and Internet Services",Software Development Engineers,https://studentlife.utoronto.ca/wp-content/uploads/amazon.jpg
Annapurna Labs (AWS),https://www.amazon.jobs/content/en/teams/amazon-web-services/annapurna-labs,Undergraduate|Graduate|Recent Graduates,Internship|Co-op|Full-time|Summer,Engineering & Technology,"Computer, Information and Internet Services",Compiler Engineer|Kernel Development Engineer,https://studentlife.utoronto.ca/wp-content/uploads/Annapurna.jpg
Appficiency,https://appficiency.com/,Recent Graduates|Undergraduate|Graduate,Full-time|Internship|Co-op|Summer,Not specified,Not specified,Software Developer|Business Development Representative|Project Coordinator,https://studentlife.utoronto.ca/wp-content/uploads/appficiency.jpg
Astera Labs,https://www.asteralabs.com/,Recent Graduates|Undergraduate|Graduate,Full-time|Internship|Co-op,Not specified,Not specified,Digital Design Engineer|Firmware Engineer|Design Verification Engineer|DFT Engineer|Physical Design Engineer,https://studentlife.utoronto.ca/wp-content/uploads/Astera-Labs.png
Baffinland Mines,https://www.baffinland.com/,Recent Graduates|Undergraduate|Graduate,Full-time|Internship|Summer|Co-op,Engineering & Technology|Arts & Science|Life Sciences|Business & Management,Not specified,Junior Engineer|Junior Mining Engineer|Mining Engineer|Mechanical Engineer,https://studentlife.utoronto.ca/wp-content/uploads/Baffinland.jpg
Bally’s Interactive,https://www.ballys.com/Our-Brands/ballys-interactive-na/,Recent Graduates|Undergraduate|Graduate,Full-time|Co-op,Engineering & Technology|Arts & Science|Business & Management,Not specified,Android Developer|iOS Developer|Marketing|Customer Service|Payments Analyst|Machine Learning Engineer|Data Engineer|Accountant|FP&A|Product Design|Project Manager,https://studentlife.utoronto.ca/wp-content/uploads/BallysInteractive.jpg
Bluelime Technical Services,https://bluelimetech.ca/,Recent Graduates|Undergraduate|Graduate,Full-time|Part-time,Engineering & Technology,Not specified,Not specified,https://studentlife.utoronto.ca/wp-content/uploads/Bluelime-1.jpg
Bioinformatics Solutions Inc.,https://www.bioinfor.com/,Recent Graduates|Undergraduate|Graduate,Full-time,Not specified,Not specified,Software Developer|Research Developer|Field Application Scientist|Account Manager|Marketing Associate,https://studentlife.utoronto.ca/wp-content/uploads/BioinformaticsSolutions.jpg
Bombardier,https://bombardier.com/en,Undergraduate|Graduate,Full-time|Internship,Business & Management|Engineering & Technology|Arts & Science,"Supply Chain, Logistics & Transportation",Aerospace/Mechanical/Electrical/Computer Science Engineers or Program Specialists,https://studentlife.utoronto.ca/wp-content/uploads/Bombardier.jpg
The Brattle Group,https://www.brattle.com/,Undergraduate,Full-time|Internship,Economics,Management Consulting,Research Analyst|Energy Analyst|Analyst Intern,https://studentlife.utoronto.ca/wp-content/uploads/BrattleGroup.jpg
Canada Border Services Agency,https://www.cbsa-asfc.gc.ca/menu-eng.html,Not specified,Not specified,Not specified,Not specified,Not specified,https://studentlife.utoronto.ca/wp-content/uploads/CBSA-logo.jpg
Capital One,https://www.capitalone.ca/,Recent Graduates|Undergraduate|Graduate,Co-op|Full-time|Internship|Summer,Business & Management|Engineering & Technology,Not specified,Strategy/Business Analyst|Financial Analyst|Process Management|Software Engineer|Data Analyst/Scientist,https://studentlife.utoronto.ca/wp-content/uploads/capital_one.jpg
Children’s Aid Society of Toronto,https://www.torontocas.ca/,Recent Graduates|Undergraduate|Graduate,Full-time|Summer,Social Work,Not specified,Intake Worker|Family Service Worker|Children’s Service Worker,https://studentlife.utoronto.ca/wp-content/uploads/ChildrensAid.jpg
