Employer,Link,Level of Study,Hiring For,Target Programs,Industry,Opportunities
4S Consulting Services Inc.,Not specified,Recent Graduates|Undergraduate|Graduate,Full-time|Internships|Summer|Co-ops,Engineering & Technology|Business & Management|Health Sciences|Life Sciences,Not specified,Not specified
Acciona,https://www.4sconsult.com/,Undergraduate,Internships,Engineering & Technology|Business & Management|Arts & Science,Not specified,Business Development Coordinator|Bid & Tender Coordinator
Amazon,https://www.acciona.com/,Undergraduate|Graduate|Recent Graduates,Internships|Co-ops|Full-time|Summer,Engineering and Technology,"Computer, Information and Internet Services",Software Development Engineers
Annapurna Labs (AWS),https://www.amazon.jobs/en,Undergraduate|Graduate|Recent Graduates,Internships|Co-ops|Full-time|Summer,Engineering and Technology,"Computer, Information and Internet Services",Compiler Engineer|Kernel Development Engineer
Appficiency,https://www.amazon.jobs/content/en/teams/amazon-web-services/annapurna-labs,Recent Graduates|Undergraduate|Graduate,Full-time|Internships|Co-ops|Summer,Not specified,Not specified,Software Developer|Business Development Representative|Project Coordinator
Astera Labs,https://appficiency.com/,Recent Graduates|Undergraduate|Graduate,Full-time|Internships|Co-ops,Not specified,Not specified,Digital Design Engineer|Firmware Engineer|Design Verification Engineer|DFT Engineer|Physical Design Engineer
Baffinland Mines,https://www.asteralabs.com/,Recent Graduates|Undergraduate|Graduate,Full-time|Internships|Summer|Co-ops,Engineering & Technology|Arts & Science|Life Sciences|Business & Management,Not specified,Junior Engineer|Junior Mining Engineer|Mining Engineer|Mechanical Engineer
Bally’s Interactive,https://www.baffinland.com/,Recent Graduates|Undergraduate|Graduate,Full-time|Co-ops,Engineering & Technology|Arts & Science|Business & Management,Not specified,Android Developer|iOS Developer|Marketing|Customer Service|Payments Analyst|Machine Learning Engineer|Data Engineer|Accountant|FP&A|Product Design|Project Manager
Bluelime Technical Services,https://www.ballys.com/Our-Brands/ballys-interactive-na/,Recent Graduates|Undergraduate|Graduate,Full-time|Part-time,Engineering & Technology,Not specified,Not specified
Bioinformatics Solutions Inc.,https://bluelimetech.ca/,Recent Graduates|Undergraduate|Graduate,Full-time,Not specified,Not specified,Software Developer|Research Developer|Field Application Scientist|Account Manager|Marketing Associate
Bombardier,https://www.bioinfor.com/,Undergraduate|Graduate,Full-time|Internships,Business & Management|Engineering & Technology|Arts & Science,"Supply Chain, Logistics & Transportation",Aerospace/Mechanical/Electrical/Computer Science Engineers or Program Specialists
The Brattle Group,https://bombardier.com/en,Undergraduate,Full-time|Internships,Economics,Management Consulting,Research Analyst|Energy Analyst|Analyst Intern
Canada Border Services Agency,https://www.brattle.com/,Not specified,Not specified,Not specified,Not specified,Not specified
Capital One,https://www.cbsa-asfc.gc.ca/menu-eng.html,Recent Graduates|Undergraduate|Graduate,Co-ops|Full-time|Internships|Summer,Business & Management|Engineering & Technology,Not specified,Strategy/Business Analyst|Financial Analyst|Process Management|Software Engineer|Data Analyst/Scientist
Children’s Aid Society of Toronto,https://www.capitalone.ca/,Recent Graduates|Undergraduate|Graduate,Full-time|Summer,Social Work,Not specified,Intake Worker|Family Service Worker|Children’s Service Worker
Dayforce,https://www.torontocas.ca/,Undergraduate|Graduate,Internship|Co-ops,Engineering & Technology|Arts & Science|Business & Management,Not specified,Not specified
Deighton Associates Limited,https://www.dayforce.com/,Recent Graduates|Undergraduate|Graduate,Full-time|Internships|Co-ops|Summer,Engineering & Technology|Business & Management,Not specified,Data Analyst|Implementation Analyst|Developer Co-op
Deliverect,https://www.deighton.com/,Recent Graduates|Undergraduate,Full-time|Internships|Co-ops|Summer,Engineering & Technology|Business & Management,Not specified,Not specified
EBC inc.,https://www.deliverect.com/en-ca,Recent Graduates|Undergraduate|Graduate,Full-time|Internship,Engineering & Technology,Not specified,Not specified
Enterprise Mobility,https://ebcinc.com/en/,Recent Graduates|Undergraduate,Full-time,Business & Management|Arts & Science,Not specified,Management Trainee
Export Development Canada,https://www.enterprisemobility.com/home.html,Recent Graduates|Undergraduate|Graduate,Full-time|Internships|Co-ops|Summer,Engineering & Technology|Business & Management|Arts & Science,Not specified,Junior Associate
Farm Credit Canada (FCC),https://www.edc.ca/,Recent Graduates|Undergraduate|Graduate,Full-time|Internships|Co-ops|Summer,Business & Management|Education|Law|Social Sciences|Arts & Humanities,Banking & Financial Services,Summer Students for 2026|Relationship Managers|Analysts|Developers|more
FGF Brands,https://www.fcc-fac.ca/,Recent Graduates|Undergraduate|Graduate,Full-time|Internships|Co-ops|Summer,Engineering & Technology|Business & Management|Arts & Science,Not specified,Not specified
Firelight,https://www.fgfbrands.com/,Not specified,Not specified,Not specified,Not specified,Not specified
Futures First,https://firelight.ca/,Recent Graduates|Undergraduate,Full-time,Engineering & Technology|Business & Management|Arts & Science,Not specified,Market Analyst Trainee
GFT Canada Inc.,https://futuresfirst.com/,Recent Graduates|Undergraduate|Graduate,Full-time|Internships|Summer|Co-ops|Part-time,Engineering & Technology|Business & Management,Not specified,Business Analyst|Developer|AI -ML Architect
Globotech Inc.,https://www.gft.com/ca/en,Recent Graduates|Undergraduate|Graduate,Full-time|Co-ops,Engineering & Technology,Engineering,Not specified
